,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
248,The Incredibles,2004,8.0,90.0,734478,261.44,115,"Animation, Action, Adventure            ",PG,"
    Director:
Brad Bird
| 
    Stars:
Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee
","
While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
249,Zodiac,2007,7.7,78.0,540671,33.08,157,"Crime, Drama, Mystery            ",R,"
    Director:
David Fincher
| 
    Stars:
Jake Gyllenhaal, 
Robert Downey Jr., 
Mark Ruffalo, 
Anthony Edwards
","
Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
250,The Count of Monte Cristo,2002,7.7,61.0,138859,54.23,131,"Action, Adventure, Drama            ",PG-13,"
    Director:
Kevin Reynolds
| 
    Stars:
Jim Caviezel, 
Guy Pearce, 
Christopher Adamson, 
JB Blanc
","
A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
251,Mr. Nobody,2009,7.8,63.0,234033,0.0,141,"Drama, Fantasy, Romance            ",R,"
    Director:
Jaco Van Dormael
| 
    Stars:
Jared Leto, 
Sarah Polley, 
Diane Kruger, 
Linh-Dan Pham
","
A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
252,A Beautiful Mind,2001,8.2,72.0,929900,170.74,135,"Biography, Drama            ",PG-13,"
    Director:
Ron Howard
| 
    Stars:
Russell Crowe, 
Ed Harris, 
Jennifer Connelly, 
Christopher Plummer
","
After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
253,Y tu mamá también,2001,7.7,88.0,123597,13.62,106,Drama            ,R,"
    Director:
Alfonso Cuarón
| 
    Stars:
Maribel Verdú, 
Gael García Bernal, 
Daniel Giménez Cacho, 
Ana López Mercado
","
In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
254,Taken,2008,7.8,51.0,603015,145.0,90,"Action, Crime, Thriller            ",PG-13,"
    Director:
Pierre Morel
| 
    Stars:
Liam Neeson, 
Maggie Grace, 
Famke Janssen, 
Leland Orser
","
A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
255,The Butterfly Effect,2004,7.6,30.0,490080,57.94,113,"Drama, Sci-Fi, Thriller            ",R,"
    Directors:
Eric Bress, 
J. Mackye Gruber
| 
    Stars:
Ashton Kutcher, 
Amy Smart, 
Melora Walters, 
Elden Henson
","
Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
256,"O Brother, Where Art Thou?",2000,7.7,69.0,312621,45.51,107,"Adventure, Comedy, Crime            ",PG-13,"
    Directors:
Joel Coen, 
Ethan Coen
| 
    Stars:
George Clooney, 
John Turturro, 
Tim Blake Nelson, 
John Goodman
","
In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
257,Fantastic Mr. Fox,2009,7.9,83.0,232467,21.0,87,"Animation, Adventure, Comedy            ",PG,"
    Director:
Wes Anderson
| 
    Stars:
George Clooney, 
Meryl Streep, 
Bill Murray, 
Jason Schwartzman
","
An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation."
258,X-Men: First Class,2011,7.7,65.0,692709,146.41,131,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Matthew Vaughn
| 
    Stars:
James McAvoy, 
Michael Fassbender, 
Jennifer Lawrence, 
Kevin Bacon
","
In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
259,Young Frankenstein,1974,8.0,80.0,159323,86.3,106,Comedy            ,PG,"
    Director:
Mel Brooks
| 
    Stars:
Gene Wilder, 
Madeline Kahn, 
Marty Feldman, 
Peter Boyle
","
An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
260,True Romance,1993,7.9,59.0,227659,12.28,119,"Crime, Drama, Romance            ",R,"
    Director:
Tony Scott
| 
    Stars:
Christian Slater, 
Patricia Arquette, 
Dennis Hopper, 
Val Kilmer
","
In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
261,Black Hawk Down,2001,7.7,74.0,397177,108.64,144,"Action, Drama, History            ",R,"
    Director:
Ridley Scott
| 
    Stars:
Josh Hartnett, 
Ewan McGregor, 
Tom Sizemore, 
Eric Bana
","
The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis."
262,Mystic River,2003,7.9,84.0,456831,90.14,138,"Crime, Drama, Mystery            ",R,"
    Director:
Clint Eastwood
| 
    Stars:
Sean Penn, 
Tim Robbins, 
Kevin Bacon, 
Emmy Rossum
","
The lives of three men who were childhood friends are shattered when one of them has a family tragedy."
263,Groundhog Day,1993,8.1,72.0,629960,70.91,101,"Comedy, Drama, Fantasy            ",PG,"
    Director:
Harold Ramis
| 
    Stars:
Bill Murray, 
Andie MacDowell, 
Chris Elliott, 
Stephen Tobolowsky
","
A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
264,The Game,1997,7.7,61.0,396644,48.32,129,"Drama, Mystery, Thriller            ",R,"
    Director:
David Fincher
| 
    Stars:
Michael Douglas, 
Deborah Kara Unger, 
Sean Penn, 
James Rebhorn
","
After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
265,Silver Linings Playbook,2012,7.7,81.0,709021,132.09,122,"Comedy, Drama, Romance            ",R,"
    Director:
David O. Russell
| 
    Stars:
Bradley Cooper, 
Jennifer Lawrence, 
Robert De Niro, 
Jacki Weaver
","
After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
266,Memories of Murder,2003,8.1,82.0,183856,0.01,132,"Crime, Drama, Mystery            ",Not Rated,"
    Director:
Bong Joon Ho
| 
    Stars:
Song Kang-ho, 
Kim Sang-kyung, 
Roe-ha Kim, 
Jae-ho Song
","
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
267,Unforgiven,1992,8.2,85.0,412010,101.16,130,"Drama, Western            ",R,"
    Director:
Clint Eastwood
| 
    Stars:
Clint Eastwood, 
Gene Hackman, 
Morgan Freeman, 
Richard Harris
","
Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
268,The Sound of Music,1965,8.1,63.0,234522,163.21,172,"Biography, Drama, Family            ",G,"
    Director:
Robert Wise
| 
    Stars:
Julie Andrews, 
Christopher Plummer, 
Eleanor Parker, 
Richard Haydn
","
A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer."
269,Shaun of the Dead,2004,7.9,76.0,558584,13.54,99,"Comedy, Horror            ",R,"
    Director:
Edgar Wright
| 
    Stars:
Simon Pegg, 
Nick Frost, 
Kate Ashfield, 
Lucy Davis
","
The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
270,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,581642,3.9,107,"Action, Comedy, Crime            ",R,"
    Director:
Guy Ritchie
| 
    Stars:
Jason Flemyng, 
Dexter Fletcher, 
Nick Moran, 
Jason Statham
","
Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
271,The Blues Brothers,1980,7.9,60.0,200409,57.23,133,"Action, Adventure, Comedy            ",R,"
    Director:
John Landis
| 
    Stars:
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy
","
Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
272,Stalker,1979,8.1,,134617,0.23,162,"Drama, Sci-Fi            ",Not Rated,"
    Director:
Andrei Tarkovsky
| 
    Stars:
Alisa Freyndlikh, 
Aleksandr Kaydanovskiy, 
Anatoliy Solonitsyn, 
Nikolay Grinko
","
A guide leads two men through an area known as the Zone to find a room that grants wishes."
273,The Blind Side,2009,7.6,53.0,332730,255.96,129,"Biography, Drama, Sport            ",PG-13,"
    Director:
John Lee Hancock
| 
    Stars:
Quinton Aaron, 
Sandra Bullock, 
Tim McGraw, 
Jae Head
","
The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
274,The Boy in the Striped Pajamas,2008,7.7,55.0,219673,9.03,94,"Drama, War            ",PG-13,"
    Director:
Mark Herman
| 
    Stars:
Asa Butterfield, 
David Thewlis, 
Rupert Friend, 
Zac Mattoon O'Brien
","
Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
275,Let the Right One In,2008,7.9,82.0,218325,2.12,114,"Drama, Fantasy, Horror            ",R,"
    Director:
Tomas Alfredson
| 
    Stars:
Kåre Hedebrant, 
Lina Leandersson, 
Per Ragnar, 
Henrik Dahl
","
Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
276,Hidden Figures,2016,7.8,74.0,230223,169.61,127,"Biography, Drama, History            ",PG,"
    Director:
Theodore Melfi
| 
    Stars:
Taraji P. Henson, 
Octavia Spencer, 
Janelle Monáe, 
Kevin Costner
","
The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."
277,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,202388,4.0,100,"Family, Fantasy, Musical            ",G,"
    Director:
Mel Stuart
| 
    Stars:
Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear
","
A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory."
278,Room,2015,8.1,86.0,420190,14.68,118,"Drama, Thriller            ",R,"
    Director:
Lenny Abrahamson
| 
    Stars:
Brie Larson, 
Jacob Tremblay, 
Sean Bridgers, 
Wendy Crewson
","
Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
279,When Harry Met Sally...,1989,7.7,76.0,221290,92.82,95,"Comedy, Drama, Romance            ",R,"
    Director:
Rob Reiner
| 
    Stars:
Billy Crystal, 
Meg Ryan, 
Carrie Fisher, 
Bruno Kirby
","
Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
280,Back to the Future Part II,1989,7.8,57.0,532173,118.5,108,"Adventure, Comedy, Sci-Fi            ",PG,"
    Director:
Robert Zemeckis
| 
    Stars:
Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Tom Wilson
","
After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
281,Goldfinger,1964,7.7,87.0,191466,51.08,110,"Action, Adventure, Thriller            ",PG,"
    Director:
Guy Hamilton
| 
    Stars:
Sean Connery, 
Gert Fröbe, 
Honor Blackman, 
Shirley Eaton
","
While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
282,Spotlight,2015,8.1,93.0,469286,45.06,129,"Biography, Crime, Drama            ",R,"
    Director:
Tom McCarthy
| 
    Stars:
Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber
","
The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
283,Eastern Promises,2007,7.6,82.0,244261,17.11,100,"Crime, Drama, Thriller            ",R,"
    Director:
David Cronenberg
| 
    Stars:
Naomi Watts, 
Viggo Mortensen, 
Armin Mueller-Stahl, 
Josef Altin
","
A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family."
284,Little Miss Sunshine,2006,7.8,80.0,481387,59.89,101,"Comedy, Drama            ",R,"
    Directors:
Jonathan Dayton, 
Valerie Faris
| 
    Stars:
Steve Carell, 
Toni Collette, 
Greg Kinnear, 
Abigail Breslin
","
A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus."
285,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1285407,290.48,124,"Action, Adventure, Fantasy            ",PG,"
    Director:
Irvin Kershner
| 
    Stars:
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams
","
After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
286,Howl's Moving Castle,2004,8.2,80.0,394033,4.71,119,"Animation, Adventure, Family            ",PG,"
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
","
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
287,My Cousin Vinny,1992,7.6,68.0,125772,52.93,120,"Comedy, Crime            ",R,"
    Director:
Jonathan Lynn
| 
    Stars:
Joe Pesci, 
Marisa Tomei, 
Ralph Macchio, 
Mitchell Whitfield
","
Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
288,"Monsters, Inc.",2001,8.1,79.0,905569,289.92,92,"Animation, Adventure, Comedy            ",G,"
    Directors:
Pete Docter, 
David Silverman, 
Lee Unkrich
| 
    Stars:
Billy Crystal, 
John Goodman, 
Mary Gibbs, 
Steve Buscemi
","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
289,Sense and Sensibility,1995,7.7,84.0,116947,43.18,136,"Drama, Romance            ",PG,"
    Director:
Ang Lee
| 
    Stars:
Emma Thompson, 
Kate Winslet, 
James Fleet, 
Tom Wilkinson
","
Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
290,Before Sunrise,1995,8.1,77.0,307964,5.54,101,"Drama, Romance            ",R,"
    Director:
Richard Linklater
| 
    Stars:
Ethan Hawke, 
Julie Delpy, 
Andrea Eckert, 
Hanno Pöschl
","
A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
291,Creed,2015,7.6,82.0,274525,109.77,133,"Action, Drama, Sport            ",PG-13,"
    Director:
Ryan Coogler
| 
    Stars:
Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad
","
The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
292,Children of Men,2006,7.9,84.0,500834,35.55,109,"Action, Drama, Sci-Fi            ",R,"
    Director:
Alfonso Cuarón
| 
    Stars:
Julianne Moore, 
Clive Owen, 
Chiwetel Ejiofor, 
Michael Caine
","
In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
293,WALL·E,2008,8.4,95.0,1110625,223.81,98,"Animation, Adventure, Family            ",G,"
    Director:
Andrew Stanton
| 
    Stars:
Ben Burtt, 
Elissa Knight, 
Jeff Garlin, 
Fred Willard
","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
294,The Curious Case of Benjamin Button,2008,7.8,70.0,650028,127.51,166,"Drama, Fantasy, Romance            ",PG-13,"
    Director:
David Fincher
| 
    Stars:
Brad Pitt, 
Cate Blanchett, 
Tilda Swinton, 
Julia Ormond
","
Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
295,Amélie,2001,8.3,69.0,755312,33.23,122,"Comedy, Romance            ",R,"
    Director:
Jean-Pierre Jeunet
| 
    Stars:
Audrey Tautou, 
Mathieu Kassovitz, 
Rufus, 
Lorella Cravotta
","
Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
296,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,1049280,309.13,131,"Action, Adventure, Fantasy            ",PG,"
    Director:
Richard Marquand
| 
    Stars:
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams
","
After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
297,12 Years a Slave,2013,8.1,96.0,699489,56.67,134,"Biography, Drama, History            ",R,"
    Director:
Steve McQueen
| 
    Stars:
Chiwetel Ejiofor, 
Michael Kenneth Williams, 
Michael Fassbender, 
Brad Pitt
","
In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
298,Lost in Translation,2003,7.7,89.0,455026,44.59,102,"Comedy, Drama            ",R,"
    Director:
Sofia Coppola
| 
    Stars:
Bill Murray, 
Scarlett Johansson, 
Giovanni Ribisi, 
Anna Faris
","
A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo."
299,Wonder,2017,7.9,66.0,164942,132.42,113,"Drama, Family            ",PG,"
    Director:
Stephen Chbosky
| 
    Stars:
Jacob Tremblay, 
Owen Wilson, 
Izabela Vidovic, 
Julia Roberts
","
Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
300,Misery,1990,7.8,75.0,213064,61.28,107,"Drama, Thriller            ",R,"
    Director:
Rob Reiner
| 
    Stars:
James Caan, 
Kathy Bates, 
Richard Farnsworth, 
Frances Sternhagen
","
After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
301,3 Idiots,2009,8.4,67.0,399472,6.53,170,"Comedy, Drama            ",PG-13,"
    Director:
Rajkumar Hirani
| 
    Stars:
Aamir Khan, 
Madhavan, 
Mona Singh, 
Sharman Joshi
","
Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
302,Tangled,2010,7.7,71.0,453015,200.82,100,"Animation, Adventure, Comedy            ",PG,"
    Directors:
Nathan Greno, 
Byron Howard
| 
    Stars:
Mandy Moore, 
Zachary Levi, 
Donna Murphy, 
Ron Perlman
","
The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
303,Crash,2004,7.8,66.0,437143,54.58,112,"Crime, Drama, Thriller            ",R,"
    Director:
Paul Haggis
| 
    Stars:
Don Cheadle, 
Sandra Bullock, 
Thandiwe Newton, 
Karina Arroyave
","
Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
304,Warrior,2011,8.2,71.0,472337,13.66,140,"Action, Drama, Sport            ",PG-13,"
    Director:
Gavin O'Connor
| 
    Stars:
Tom Hardy, 
Nick Nolte, 
Joel Edgerton, 
Jennifer Morrison
","
The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
305,Blazing Saddles,1974,7.7,73.0,140410,119.5,93,"Comedy, Western            ",R,"
    Director:
Mel Brooks
| 
    Stars:
Cleavon Little, 
Gene Wilder, 
Slim Pickens, 
Harvey Korman
","
In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
306,The Lives of Others,2006,8.4,89.0,389455,11.29,137,"Drama, Mystery, Thriller            ",R,"
    Director:
Florian Henckel von Donnersmarck
| 
    Stars:
Ulrich Mühe, 
Martina Gedeck, 
Sebastian Koch, 
Ulrich Tukur
","
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
307,Despicable Me,2010,7.6,72.0,547298,251.51,95,"Animation, Adventure, Comedy            ",PG,"
    Directors:
Pierre Coffin, 
Chris Renaud
| 
    Stars:
Steve Carell, 
Jason Segel, 
Russell Brand, 
Julie Andrews
","
When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
308,L.A. Confidential,1997,8.2,90.0,582560,64.62,138,"Crime, Drama, Mystery            ",R,"
    Director:
Curtis Hanson
| 
    Stars:
Kevin Spacey, 
Russell Crowe, 
Guy Pearce, 
Kim Basinger
","
As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
309,Downfall,2004,8.2,82.0,356003,5.51,156,"Biography, Drama, History            ",R,"
    Director:
Oliver Hirschbiegel
| 
    Stars:
Bruno Ganz, 
Alexandra Maria Lara, 
Ulrich Matthes, 
Juliane Köhler
","
Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
310,Captain America: The Winter Soldier,2014,7.8,70.0,842493,259.77,136,"Action, Adventure, Sci-Fi            ",PG-13,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Samuel L. Jackson, 
Scarlett Johansson, 
Robert Redford
","
As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
311,American Gangster,2007,7.8,76.0,427153,130.16,157,"Biography, Crime, Drama            ",R,"
    Director:
Ridley Scott
| 
    Stars:
Denzel Washington, 
Russell Crowe, 
Chiwetel Ejiofor, 
Josh Brolin
","
An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
312,Hot Fuzz,2007,7.8,81.0,505921,23.64,121,"Action, Comedy, Mystery            ",R,"
    Director:
Edgar Wright
| 
    Stars:
Simon Pegg, 
Nick Frost, 
Martin Freeman, 
Bill Nighy
","
A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
313,Up,2009,8.3,88.0,1039351,293.0,96,"Animation, Adventure, Comedy            ",PG,"
    Directors:
Pete Docter, 
Bob Peterson
| 
    Stars:
Edward Asner, 
Jordan Nagai, 
John Ratzenberger, 
Christopher Plummer
","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
314,Incendies,2010,8.3,80.0,177803,6.86,131,"Drama, Mystery            ",R,"
    Director:
Denis Villeneuve
| 
    Stars:
Lubna Azabal, 
Mélissa Désormeaux-Poulin, 
Maxim Gaudette, 
Mustafa Kamel
","
Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes."
315,A Few Good Men,1992,7.7,62.0,265180,141.34,138,"Drama, Thriller            ",R,"
    Director:
Rob Reiner
| 
    Stars:
Tom Cruise, 
Jack Nicholson, 
Demi Moore, 
Kevin Bacon
","
Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders."
316,Brokeback Mountain,2005,7.7,87.0,357651,83.04,134,"Drama, Romance            ",R,"
    Director:
Ang Lee
| 
    Stars:
Jake Gyllenhaal, 
Heath Ledger, 
Michelle Williams, 
Randy Quaid
","
Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends."
317,Another Round,2020,7.7,79.0,156416,,117,"Comedy, Drama            ",Not Rated,"
    Director:
Thomas Vinterberg
| 
    Stars:
Mads Mikkelsen, 
Thomas Bo Larsen, 
Magnus Millang, 
Lars Ranthe
","
Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives."
318,Portrait of a Lady on Fire,2019,8.1,95.0,91497,3.76,122,"Drama, Romance            ",R,"
    Director:
Céline Sciamma
| 
    Stars:
Noémie Merlant, 
Adèle Haenel, 
Luàna Bajrami, 
Valeria Golino
","
On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
319,The Machinist,2004,7.7,61.0,390973,1.08,101,"Drama, Thriller            ",R,"
    Director:
Brad Anderson
| 
    Stars:
Christian Bale, 
Jennifer Jason Leigh, 
Aitana Sánchez-Gijón, 
John Sharian
","
An industrial worker who hasn't slept in a year begins to doubt his own sanity."
320,The Sandlot,1993,7.8,55.0,93103,32.42,101,"Comedy, Drama, Family            ",PG,"
    Director:
David Mickey Evans
| 
    Stars:
Tom Guiry, 
Mike Vitar, 
Art LaFleur, 
Patrick Renna
","
In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
321,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68.0,789515,380.26,140,"Action, Adventure, Fantasy            ",PG-13,"
    Director:
George Lucas
| 
    Stars:
Hayden Christensen, 
Natalie Portman, 
Ewan McGregor, 
Samuel L. Jackson
","
Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
322,Finding Nemo,2003,8.2,90.0,1039758,380.84,100,"Animation, Adventure, Comedy            ",G,"
    Directors:
Andrew Stanton, 
Lee Unkrich
| 
    Stars:
Albert Brooks, 
Ellen DeGeneres, 
Alexander Gould, 
Willem Dafoe
","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
323,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,629306,42.34,119,"Comedy, Drama            ",R,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
","
A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
324,The Sting,1973,8.3,83.0,262448,159.6,129,"Comedy, Crime, Drama            ",PG,"
    Director:
George Roy Hill
| 
    Stars:
Paul Newman, 
Robert Redford, 
Robert Shaw, 
Charles Durning
","
Two grifters team up to pull off the ultimate con."
325,Match Point,2005,7.6,72.0,218968,23.09,124,"Drama, Romance, Thriller            ",R,"
    Director:
Woody Allen
| 
    Stars:
Scarlett Johansson, 
Jonathan Rhys Meyers, 
Emily Mortimer, 
Matthew Goode
","
At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
326,Remember the Titans,2000,7.8,48.0,216474,115.65,113,"Biography, Drama, Sport            ",PG,"
    Director:
Boaz Yakin
| 
    Stars:
Denzel Washington, 
Will Patton, 
Wood Harris, 
Ryan Hurst
","
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit."
327,Rush,2013,8.1,74.0,479486,26.95,123,"Action, Biography, Drama            ",R,"
    Director:
Ron Howard
| 
    Stars:
Daniel Brühl, 
Chris Hemsworth, 
Olivia Wilde, 
Alexandra Maria Lara
","
The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda."
328,The Deer Hunter,1978,8.1,86.0,339535,48.98,183,"Drama, War            ",R,"
    Director:
Michael Cimino
| 
    Stars:
Robert De Niro, 
Christopher Walken, 
John Cazale, 
John Savage
","
An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania."
